1	slow	8	whole	60.483	163840000	0	20000	0	6.27 4.34 6	13	190676136
1	base	128	whole	9.798	163840000	0	20000	0	5.73 3.68 17	132	189934692
1	shard1	128	whole	9.179	163840000	0	20000	0	0.19 8.46 25	130	191307604
1	shard2	128	whole	7.782	163840000	0	20000	0	0.20 7.45 26	136	191145082
1	shard2-mi	128	whole	7.306	163840000	0	20000	0	0.18 5.52 25	146	191673370
1	shardF-mi	128	whole	8.440	163840000	0	20000	0	0.15 7.28 62	202	201526586
1	base	256	whole	10.521	163840000	0	20000	0	6.08 3.84 33	260	193191316
1	shard1	256	whole	9.500	163840000	0	20000	0	0.19 8.61 33	194	190328180
1	shard2	256	whole	8.218	163840000	0	20000	0	0.21 7.16 75	290	199087831
1	shard2-mi	256	whole	7.353	163840000	0	20000	0	0.14 6.93 32	370	197728766
1	shardF-mi	256	whole	8.771	163840000	0	20000	0	0.18 8.20 28	360	201796778
1	base	512	whole	11.120	163840000	0	20000	0	6.43 3.82 27	517	193064007
1	shard1	512	whole	10.067	163840000	0	20000	0	0.19 8.54 42	184	191947637
1	shard2	512	whole	8.355	163840000	0	20000	0	0.19 7.51 41	466	198902644
1	shard2-mi	512	whole	6.851	163840000	0	20000	0	0.17 6.37 26	475	198255880
1	shardF-mi	512	whole	8.567	163840000	0	20000	0	0.18 8.35 19	690	200560911
2	base	128	whole	9.977	163840000	0	20000	0	5.98 3.78 14	132	192183892
2	shard1	128	whole	10.145	163840000	0	20000	0	0.20 8.06 37	144	191272036
2	shard2	128	whole	8.076	163840000	0	20000	0	0.20 7.69 25	146	192345306
2	shard2-mi	128	whole	6.775	163840000	0	20000	0	0.18 6.59 34	137	191885909
2	shardF-mi	128	whole	8.538	163840000	0	20000	0	0.18 7.46 62	188	197253453
2	base	256	whole	10.389	163840000	0	20000	0	6.25 3.95 21	260	192043776
2	shard1	256	whole	9.660	163840000	0	20000	0	0.22 8.38 16	184	190675381
2	shard2	256	whole	8.005	163840000	0	20000	0	0.19 7.68 22	279	197389743
2	shard2-mi	256	whole	7.077	163840000	0	20000	0	0.18 6.29 75	318	195840926
2	shardF-mi	256	whole	9.259	163840000	0	20000	0	0.24 6.53 6	427	198489468
2	base	512	whole	11.373	163840000	0	20000	0	6.50 3.89 34	518	193210105
2	shard1	512	whole	9.172	163840000	0	20000	0	0.20 8.58 23	220	191066726
2	shard2	512	whole	8.204	163840000	0	20000	0	0.18 7.48 50	522	195183221
2	shard2-mi	512	whole	7.331	163840000	0	20000	0	0.15 6.36 59	572	197581643
2	shardF-mi	512	whole	8.437	163840000	0	20000	0	0.19 8.23 21	737	200279965
3	base	128	whole	10.433	163840000	0	20000	0	5.94 2.32 3	131	191358045
3	shard1	128	whole	8.338	163840000	0	20000	0	0.20 8.05 12	148	192303446
3	shard2	128	whole	7.977	163840000	0	20000	0	0.20 6.70 35	147	190437074
3	shard2-mi	128	whole	6.606	163840000	0	20000	0	0.17 6.32 30	138	191249313
3	shardF-mi	128	whole	8.031	163840000	0	20000	0	0.18 6.37 14	174	197295271
3	base	256	whole	9.977	163840000	0	20000	0	6.06 3.86 12	260	191194290
3	shard1	256	whole	10.604	163840000	0	20000	0	0.16 8.64 56	256	191624835
3	shard2	256	whole	8.434	163840000	0	20000	0	0.30 6.87 5	329	197832706
3	shard2-mi	256	whole	7.221	163840000	0	20000	0	0.17 6.28 40	353	198046737
3	shardF-mi	256	whole	8.476	163840000	0	20000	0	0.18 7.80 33	407	204276683
3	base	512	whole	10.845	163840000	0	20000	0	6.48 3.94 19	517	193394342
3	shard1	512	whole	9.681	163840000	0	20000	0	0.27 7.63 5	202	191090791
3	shard2	512	whole	7.817	163840000	0	20000	0	0.19 7.46 28	448	194961483
3	shard2-mi	512	whole	7.014	163840000	0	20000	0	0.18 6.16 55	468	197465070
3	shardF-mi	512	whole	8.760	163840000	0	20000	0	0.26 6.56 4	715	200967964
