1	big	LW	18353	-	6442450944	6	-
1	big	SW	19087	-	6442450944	6	-
1	big	PW-32	18246	-	6442450944	6	-
1	small	LW	20351	-	163840000	20000	-
1	small	SW	59310	-	163840000	20000	-
1	small	PW-32	1071863	-	163840000	20000	-
1	mixed	LW	50543	-	4327735296	2001	-
1	mixed	SW	17089	-	4327735296	2001	-
1	mixed	PW-32	107622	-	4327735296	2001	-
2	big	LW	18331	-	6442450944	6	-
2	big	SW	18833	-	6442450944	6	-
2	big	PW-32	17954	-	6442450944	6	-
2	small	LW	19868	-	163840000	20000	-
2	small	SW	59168	-	163840000	20000	-
2	small	PW-32	1057470	-	163840000	20000	-
2	mixed	LW	51674	-	4327735296	2001	-
2	mixed	SW	16891	-	4327735296	2001	-
2	mixed	PW-32	107003	-	4327735296	2001	-
3	big	LW	18306	-	6442450944	6	-
3	big	SW	18770	-	6442450944	6	-
3	big	PW-32	17915	-	6442450944	6	-
3	small	LW	19497	-	163840000	20000	-
3	small	SW	58344	-	163840000	20000	-
3	small	PW-32	1068298	-	163840000	20000	-
3	mixed	LW	50898	-	4327735296	2001	-
3	mixed	SW	17015	-	4327735296	2001	-
3	mixed	PW-32	110447	-	4327735296	2001	-


