1	big	L-ship	24089	16178	6442450944	6	6
1	big	L-raw	24940	16727	6442450944	6	6
1	big	L-0910	24924	16903	6442450944	6	6
1	big	L-slow	25095	17138	6442450944	6	6
1	big	P-32	9834	-	6442450944	6	-
1	big	Pw-32	9719	-	6442450944	6	-
1	big	P-meta	21	-	-	6	-
1	big	PC-32	17291	-	6442450944	6	-
1	big	PCw-32	4680	-	6442450944	6	-
1	big	S-32	21511	-	6442450944	6	-
1	small	L-ship	5929	5178	163840000	20000	0
1	small	L-raw	4976	4342	163840000	20000	0
1	small	L-0910	16861	16234	163840000	20000	0
1	small	L-slow	252168	251704	163840000	20000	0
1	small	P-1	1079266	-	163840000	20000	-
1	small	P-32	69237	-	163840000	20000	-
1	small	Pw-32	67386	-	163840000	20000	-
1	small	P-meta	1796	-	-	20000	-
1	small	PC-32	34910	-	163840000	20000	-
1	small	PCw-32	11648	-	163840000	20000	-
1	small	S-32	69228	-	163840000	20000	-
1	mixed	L-ship	19950	15693	4327735296	2001	1
1	mixed	L-raw	19150	13515	4327735296	2001	1
1	mixed	L-0910	18734	13139	4327735296	2001	1
1	mixed	L-slow	43208	40242	4327735296	2001	1
1	mixed	P-32	15428	-	4327735296	2001	-
1	mixed	Pw-32	15045	-	4327735296	2001	-
1	mixed	P-meta	174	-	-	2001	-
1	mixed	PC-32	14429	-	4327735296	2001	-
1	mixed	PCw-32	3765	-	4327735296	2001	-
1	mixed	S-32	21730	-	4327735296	2001	-
1	-	ctl	17236	630	-	-	-
2	big	L-ship	24920	16528	6442450944	6	6
2	big	L-raw	24932	16963	6442450944	6	6
2	big	L-0910	24864	17085	6442450944	6	6
2	big	P-32	9127	-	6442450944	6	-
2	big	Pw-32	9376	-	6442450944	6	-
2	big	P-meta	27	-	-	6	-
2	big	PC-32	17810	-	6442450944	6	-
2	big	PCw-32	4394	-	6442450944	6	-
2	big	S-32	21498	-	6442450944	6	-
2	small	L-ship	5295	4551	163840000	20000	0
2	small	L-raw	4637	3973	163840000	20000	0
2	small	L-0910	16016	15399	163840000	20000	0
2	small	P-32	64355	-	163840000	20000	-
2	small	Pw-32	64664	-	163840000	20000	-
2	small	P-meta	1824	-	-	20000	-
2	small	PC-32	32390	-	163840000	20000	-
2	small	PCw-32	11857	-	163840000	20000	-
2	small	S-32	70452	-	163840000	20000	-
2	mixed	L-ship	19583	14662	4327735296	2001	1
2	mixed	L-raw	19184	13298	4327735296	2001	1
2	mixed	L-0910	19089	13293	4327735296	2001	1
2	mixed	P-32	15077	-	4327735296	2001	-
2	mixed	Pw-32	15500	-	4327735296	2001	-
2	mixed	P-meta	206	-	-	2001	-
2	mixed	PC-32	14550	-	4327735296	2001	-
2	mixed	PCw-32	3821	-	4327735296	2001	-
2	mixed	S-32	22774	-	4327735296	2001	-
2	-	ctl	16777	632	-	-	-
3	big	L-ship	25000	17985	6442450944	6	6
3	big	L-raw	24863	17910	6442450944	6	6
3	big	L-0910	24864	17773	6442450944	6	6
3	big	P-32	9695	-	6442450944	6	-
3	big	Pw-32	9538	-	6442450944	6	-
3	big	P-meta	36	-	-	6	-
3	big	PC-32	18009	-	6442450944	6	-
3	big	PCw-32	4792	-	6442450944	6	-
3	big	S-32	22442	-	6442450944	6	-
3	small	L-ship	5528	4768	163840000	20000	0
3	small	L-raw	4650	3972	163840000	20000	0
3	small	L-0910	15897	15320	163840000	20000	0
3	small	P-32	63246	-	163840000	20000	-
3	small	Pw-32	65369	-	163840000	20000	-
3	small	P-meta	1693	-	-	20000	-
3	small	PC-32	32110	-	163840000	20000	-
3	small	PCw-32	11797	-	163840000	20000	-
3	small	S-32	69992	-	163840000	20000	-
3	mixed	L-ship	19733	14631	4327735296	2001	1
3	mixed	L-raw	21184	17318	4327735296	2001	1
3	mixed	L-0910	19226	13536	4327735296	2001	1
3	mixed	P-32	15022	-	4327735296	2001	-
3	mixed	Pw-32	15222	-	4327735296	2001	-
3	mixed	P-meta	183	-	-	2001	-
3	mixed	PC-32	14315	-	4327735296	2001	-
3	mixed	PCw-32	3791	-	4327735296	2001	-
3	mixed	S-32	21576	-	4327735296	2001	-
3	-	ctl	16792	636	-	-	-
