1	big	Ld	205827	0	6442450944	6	-
1	big	Pd-32	9463	-	6442450944	6	-
1	big	Pdw-32	9162	-	6442450944	6	-
1	small	Ld	24897	0	163840000	20000	-
1	small	Pd-32	68869	-	163840000	20000	-
1	small	Pdw-32	68598	-	163840000	20000	-
1	mixed	Ld	103038	0	4327735296	2001	-
1	mixed	Pd-32	16215	-	4327735296	2001	-
1	mixed	Pdw-32	16069	-	4327735296	2001	-
1	-	ctl-exec	109	-	-	-	-
2	big	Ld	118432	0	6442450944	6	-
2	big	Pd-32	9856	-	6442450944	6	-
2	big	Pdw-32	9753	-	6442450944	6	-
2	small	Ld	22860	0	163840000	20000	-
2	small	Pd-32	67566	-	163840000	20000	-
2	small	Pdw-32	66393	-	163840000	20000	-
2	mixed	Ld	115052	0	4327735296	2001	-
2	mixed	Pd-32	16387	-	4327735296	2001	-
2	mixed	Pdw-32	16317	-	4327735296	2001	-
2	-	ctl-exec	100	-	-	-	-
3	big	Ld	161069	0	6442450944	6	-
3	big	Pd-32	10279	-	6442450944	6	-
3	big	Pdw-32	10129	-	6442450944	6	-
3	small	Ld	23064	0	163840000	20000	-
3	small	Pd-32	67121	-	163840000	20000	-
3	small	Pdw-32	67751	-	163840000	20000	-
3	mixed	Ld	92418	0	4327735296	2001	-
3	mixed	Pd-32	17061	-	4327735296	2001	-
3	mixed	Pdw-32	16535	-	4327735296	2001	-
3	-	ctl-exec	115	-	-	-	-
