1	big	Ld-W	19429	-	6442450944	6	-
1	big	Pd-W	17545	-	6442450944	6	-
1	small	Ld-W	20807	-	163840000	20000	-
1	small	Pd-W	828715	-	163840000	20000	-
1	mixed	Ld-W	50847	-	4327735296	2001	-
1	mixed	Pd-W	90715	-	4327735296	2001	-
2	big	Ld-W	18976	-	6442450944	6	-
2	big	Pd-W	18455	-	6442450944	6	-
2	small	Ld-W	20871	-	163840000	20000	-
2	small	Pd-W	812494	-	163840000	20000	-
2	mixed	Ld-W	50924	-	4327735296	2001	-
2	mixed	Pd-W	92636	-	4327735296	2001	-
3	big	Ld-W	19120	-	6442450944	6	-
3	big	Pd-W	17521	-	6442450944	6	-
3	small	Ld-W	22553	-	163840000	20000	-
3	small	Pd-W	825230	-	163840000	20000	-
3	mixed	Ld-W	50817	-	4327735296	2001	-
3	mixed	Pd-W	96328	-	4327735296	2001	-
