1	sdk	128	small	3.877	163840000	0	20000	0.10 7.82 37	135	192319733	5.09	0
1	raw	128	small	117.076	163840000	0	20000	0.17 0.02 3	40	217936797	118.10	0
1	sdk	256	small	2.456	163840000	0	20000	0.10 6.83 99	260	192086442	3.57	-1
1	raw	256	small	44.135	163840000	0	20000	0.11 7.87 150	95	196562614	45.46	-1
1	sdk	512	small	FAILED	0	0	0	0.01 0.00 5	0	0
1	raw	512	small	28.982	163840000	0	20000	0.11 7.39 376	479	195079334	30.68	-1
2	sdk	128	small	FAILED	0	0	0	0.01 0.00 5	0	0
2	raw	128	small	61.390	163840000	0	20000	0.12 7.96 52	83	197868545	62.55	-1
2	sdk	256	small	2.399	163840000	0	20000	0.11 6.62 134	300	190977654	3.56	-1
2	raw	256	small	43.304	163840000	0	20000	0.11 7.34 56	70	195907457	44.67	-1
2	sdk	512	small	FAILED	0	0	0	0.00 0.00 5	0	0
2	raw	512	small	FAILED	0	0	0	0.01 0.00 5	0	0
3	sdk	128	small	FAILED	0	0	0	0.01 0.00 5	0	0
3	raw	128	small	64.001	163840000	0	20000	0.11 8.19 76	134	198748671	65.08	-1
3	sdk	256	small	2.341	163840000	0	20000	0.11 7.22 48	351	192630459	3.57	-1
3	raw	256	small	41.458	163840000	0	20000	0.11 7.47 216	53	194654428	42.92	-1
3	sdk	512	small	FAILED	0	0	0	0.01 0.00 5	0	0
3	raw	512	small	FAILED	0	0	0	0.00 0.00 5	0	0
