1	sdk	128	small	3.955	163840000	0	20000	0.11 7.76 68	179	191917869	5.14	0	8.54
1	raw	128	small	3.879	163840000	0	20000	0.12 4.53 90	158	191919056	5.13	0	5.38
1	sdk	256	small	2.659	163840000	0	20000	0.12 6.69 50	296	192212230	4.14	-1	8.18
1	raw	256	small	2.140	163840000	0	20000	0.12 3.42 166	347	190953381	3.38	-1	5.48
1	sdk	512	small	2.561	163840000	0	20000	0.10 6.03 109	572	196117706	4.09	-1	8.29
1	raw	512	small	1.682	163840000	0	20000	0.11 3.47 195	593	192704283	3.13	-1	4.93
2	sdk	128	small	3.977	163840000	0	20000	0.11 7.76 75	177	190391608	5.14	-1	8.59
2	raw	128	small	3.846	163840000	0	20000	0.11 4.53 71	173	192463674	5.13	-1	5.39
2	sdk	256	small	2.527	163840000	0	20000	0.16 0.00 1	268	190063311	3.84	-1	7.82
2	raw	256	small	2.184	163840000	0	20000	0.12 3.08 147	335	193676917	3.63	-1	5.32
2	sdk	512	small	2.413	163840000	0	20000	0.11 6.13 69	571	197120314	4.17	-1	7.84
2	raw	512	small	1.694	163840000	0	20000	0.17 0.00 1	647	195038230	3.17	-1	4.89
3	sdk	128	small	3.925	163840000	0	20000	0.10 7.69 43	178	190757443	5.14	-1	8.28
3	raw	128	small	3.940	163840000	0	20000	0.11 4.42 77	162	191684272	5.13	-1	5.25
3	sdk	256	small	2.497	163840000	0	20000	0.13 6.40 39	272	190173190	3.78	-1	7.79
3	raw	256	small	2.127	163840000	0	20000	0.10 3.89 192	293	189964031	3.12	-1	5.23
3	sdk	512	small	2.439	163840000	0	20000	0.15 5.65 17	658	195029496	3.91	-1	7.70
3	raw	512	small	1.636	163840000	0	20000	0.17 0.00 43	602	194979869	3.64	-1	4.97
