1	sdk	128	small	3.949	163840000	0	20000	0.10 7.43 67	137	189557452	5.06	0
1	raw	128	small	3.725	163840000	0	20000	0.14 4.06 47	132	189602837	5.06	0
1	sdk	256	small	2.409	163840000	0	20000	0.11 6.96 89	307	191170848	3.57	-1
1	raw	256	small	2.039	163840000	0	20000	0.12 3.43 66	300	190922390	3.55	-1
1	sdk	512	small	2.234	163840000	0	20000	0.15 5.51 22	554	195382279	3.77	-1
1	raw	512	small	1.494	163840000	0	20000	0.17 2.50 291	517	193246762	3.56	-1
2	sdk	128	small	3.874	163840000	0	20000	0.11 7.34 51	132	191166785	5.07	-1
2	raw	128	small	3.877	163840000	0	20000	0.12 4.25 88	136	189776616	5.06	-1
2	sdk	256	small	2.418	163840000	0	20000	0.11 6.82 61	292	191225034	3.57	-1
2	raw	256	small	2.103	163840000	0	20000	0.11 3.85 139	346	190181535	3.22	-1
2	sdk	512	small	2.260	163840000	0	20000	0.11 6.39 143	572	195594183	3.58	-1
2	raw	512	small	1.569	163840000	0	20000	0.16 0.00 309	528	193879285	3.57	-1
3	sdk	128	small	3.863	163840000	0	20000	0.10 7.66 68	139	191380123	5.07	-1
3	raw	128	small	3.816	163840000	0	20000	0.12 4.38 60	133	191560359	5.06	-1
3	sdk	256	small	2.440	163840000	0	20000	0.11 6.91 93	389	193008874	3.57	-1
3	raw	256	small	2.033	163840000	0	20000	0.11 3.84 138	326	190875457	3.20	-1
3	sdk	512	small	2.357	163840000	0	20000	0.11 6.00 200	777	200004064	4.15	-1
3	raw	512	small	1.530	163840000	0	20000	0.17 0.00 4	521	192551619	3.56	-1
